,season,date,race_id,location,circuitName,weather,name,team,enginemanufacturer,status,"accidents per driver, per season","failures per driver, per season"
124,2014,2014-07-20,10,Hockenheim,Hockenheimring,cloudy  with maximum temperatures reaching 26 degrees during the day. ,Valtteri Bottas,Williams,Mercedes,F,0.0,1.0
125,2014,2014-07-20,10,Hockenheim,Hockenheimring,cloudy  with maximum temperatures reaching 26 degrees during the day. ,Sergio Perez,ForceIndia,Mercedes,F,3.0,0.0
126,2014,2014-07-20,10,Hockenheim,Hockenheimring,cloudy  with maximum temperatures reaching 26 degrees during the day. ,Max Chilton,Marussia,Ferrari,F,2.0,1.0
127,2014,2014-07-20,10,Hockenheim,Hockenheimring,cloudy  with maximum temperatures reaching 26 degrees during the day. ,Jules Bianchi,Marussia,Ferrari,F,1.0,1.0
128,2014,2014-07-20,10,Hockenheim,Hockenheimring,cloudy  with maximum temperatures reaching 26 degrees during the day. ,Marcus Ericsson,Caterham,Renault,F,1.0,4.0
129,2014,2014-07-20,10,Hockenheim,Hockenheimring,cloudy  with maximum temperatures reaching 26 degrees during the day. ,Esteban Gutierrez,Sauber,Ferrari,F,3.0,3.0
130,2014,2014-07-20,10,Hockenheim,Hockenheimring,cloudy  with maximum temperatures reaching 26 degrees during the day. ,Pastor Maldonado,LotusF1,Renault,F,0.0,6.0
131,2014,2014-07-20,10,Hockenheim,Hockenheimring,cloudy  with maximum temperatures reaching 26 degrees during the day. ,Romain Grosjean,LotusF1,Renault,DNF,1.0,5.0
132,2014,2014-07-27,11,Budapest,Hungaroring,"overcast. wet track at start, then drying scattered thunderstorms during the day, temperatures reaching a maximum of 26 degrees. ",Lewis Hamilton,Mercedes,Mercedes,F,0.0,3.0
133,2014,2014-07-27,11,Budapest,Hungaroring,"overcast. wet track at start, then drying scattered thunderstorms during the day, temperatures reaching a maximum of 26 degrees. ",Daniel Ricciardo,RedBull,Renault,F,0.0,2.0
134,2014,2014-07-27,11,Budapest,Hungaroring,"overcast. wet track at start, then drying scattered thunderstorms during the day, temperatures reaching a maximum of 26 degrees. ",Nico Rosberg,Mercedes,Mercedes,F,0.0,2.0
135,2014,2014-07-27,11,Budapest,Hungaroring,"overcast. wet track at start, then drying scattered thunderstorms during the day, temperatures reaching a maximum of 26 degrees. ",Kevin Magnussen,McLaren,Mercedes,F,0.0,1.0
136,2014,2014-07-27,11,Budapest,Hungaroring,"overcast. wet track at start, then drying scattered thunderstorms during the day, temperatures reaching a maximum of 26 degrees. ",Fernando Alonso,Ferrari,Ferrari,F,0.0,2.0
137,2014,2014-07-27,11,Budapest,Hungaroring,"overcast. wet track at start, then drying scattered thunderstorms during the day, temperatures reaching a maximum of 26 degrees. ",Jean-Eric Vergne,ToroRosso,Renault,F,0.0,5.0
138,2014,2014-07-27,11,Budapest,Hungaroring,"overcast. wet track at start, then drying scattered thunderstorms during the day, temperatures reaching a maximum of 26 degrees. ",Nico Hulkenberg,ForceIndia,Mercedes,DNF,1.0,1.0
139,2014,2014-07-27,11,Budapest,Hungaroring,"overcast. wet track at start, then drying scattered thunderstorms during the day, temperatures reaching a maximum of 26 degrees. ",Daniil Kvyat,ToroRosso,Renault,F,0.0,5.0
140,2014,2014-07-27,11,Budapest,Hungaroring,"overcast. wet track at start, then drying scattered thunderstorms during the day, temperatures reaching a maximum of 26 degrees. ",Felipe Massa,Williams,Mercedes,F,3.0,0.0
141,2014,2014-07-27,11,Budapest,Hungaroring,"overcast. wet track at start, then drying scattered thunderstorms during the day, temperatures reaching a maximum of 26 degrees. ",Jenson Button,McLaren,Mercedes,F,0.0,0.0
142,2014,2014-07-27,11,Budapest,Hungaroring,"overcast. wet track at start, then drying scattered thunderstorms during the day, temperatures reaching a maximum of 26 degrees. ",Kimi Raikkonen,Ferrari,Ferrari,F,1.0,0.0
143,2014,2014-07-27,11,Budapest,Hungaroring,"overcast. wet track at start, then drying scattered thunderstorms during the day, temperatures reaching a maximum of 26 degrees. ",Sebastian Vettel,RedBull,Renault,F,0.0,3.0
144,2014,2014-07-27,11,Budapest,Hungaroring,"overcast. wet track at start, then drying scattered thunderstorms during the day, temperatures reaching a maximum of 26 degrees. ",Adrian Sutil,Sauber,Ferrari,F,4.0,3.0
145,2014,2014-07-27,11,Budapest,Hungaroring,"overcast. wet track at start, then drying scattered thunderstorms during the day, temperatures reaching a maximum of 26 degrees. ",Kamui Kobayashi,Caterham,Renault,DNF,1.0,5.0
146,2014,2014-07-27,11,Budapest,Hungaroring,"overcast. wet track at start, then drying scattered thunderstorms during the day, temperatures reaching a maximum of 26 degrees. ",Valtteri Bottas,Williams,Mercedes,F,0.0,1.0
147,2014,2014-07-27,11,Budapest,Hungaroring,"overcast. wet track at start, then drying scattered thunderstorms during the day, temperatures reaching a maximum of 26 degrees. ",Sergio Perez,ForceIndia,Mercedes,DNF,3.0,0.0
148,2014,2014-07-27,11,Budapest,Hungaroring,"overcast. wet track at start, then drying scattered thunderstorms during the day, temperatures reaching a maximum of 26 degrees. ",Max Chilton,Marussia,Ferrari,F,2.0,1.0
149,2014,2014-07-27,11,Budapest,Hungaroring,"overcast. wet track at start, then drying scattered thunderstorms during the day, temperatures reaching a maximum of 26 degrees. ",Jules Bianchi,Marussia,Ferrari,F,1.0,1.0
150,2014,2014-07-27,11,Budapest,Hungaroring,"overcast. wet track at start, then drying scattered thunderstorms during the day, temperatures reaching a maximum of 26 degrees. ",Marcus Ericsson,Caterham,Renault,DNF,1.0,4.0
151,2014,2014-07-27,11,Budapest,Hungaroring,"overcast. wet track at start, then drying scattered thunderstorms during the day, temperatures reaching a maximum of 26 degrees. ",Esteban Gutierrez,Sauber,Ferrari,DNF,3.0,3.0
