season,date,race_id,location,driver_id,name,team,enginemanufacturer,resultposition,gridposition,status,completedlaps,comment,nolaps,tracklength
2014,2014-06-22,8,Spielberg,11,Kimi Raikkonen,Ferrari,Ferrari,10,8,F,71,,71,4318
2014,2014-07-06,9,Silverstone,11,Kimi Raikkonen,Ferrari,Ferrari,22,18,DNF,0,"RAI crashed into barrier in lap 1, race was interrupted for 1 hour (at 116s t_race) to repair the barrier between lap 1/2, cars standing in grid in the meanwhile, restart behind SC in lap 2",52,5891
2014,2014-07-20,10,Hockenheim,11,Kimi Raikkonen,Ferrari,Ferrari,11,12,F,66,,67,4574
2014,2014-07-27,11,Budapest,11,Kimi Raikkonen,Ferrari,Ferrari,6,16,F,70,Wet in the beginning,70,4381
2014,2014-08-24,12,Spa,11,Kimi Raikkonen,Ferrari,Ferrari,4,8,F,44,,44,7004
2014,2014-09-07,13,Monza,11,Kimi Raikkonen,Ferrari,Ferrari,9,11,F,53,,53,5793
2014,2014-09-21,14,Singapore,11,Kimi Raikkonen,Ferrari,Ferrari,8,7,F,60,,60,5063
2014,2014-10-05,15,Suzuka,11,Kimi Raikkonen,Ferrari,Ferrari,12,10,F,43,"Wet race, start behind SC, race interrupted in lap 2/3 for 15 minutes (in the pit), restart behind SC, race finally interrupted after lap 46, race officially ended after lap 44",44,5807
2014,2014-10-12,16,Sochi,11,Kimi Raikkonen,Ferrari,Ferrari,9,8,F,53,,53,5848
2014,2014-11-02,17,Austin,11,Kimi Raikkonen,Ferrari,Ferrari,13,8,F,55,,56,5513
